Coverage,Sample,SouthAsia,WestEurasia,EastAsia,CentralAsiaSiberia
HC,USR1,0.20527229259148555,0.18859428980852116,0.29268202030293355,0.31345139729705973
HC,Kolyma1,0.19192475076069135,0.16644461964126175,0.3083916203388761,0.33323900925917066
HC,KK1,0.2930391375905542,0.40405529344104507,0.1337902222968688,0.16911534667153202
HC,Loschbour,0.22422184644235235,0.3493696624768148,0.1952956879913238,0.23111280308950904
HC,sf12,0.24261336757374805,0.3338273998415836,0.19126520947279751,0.2322940231118708
HC,SRA62,0.21981746014960366,0.3864242311625615,0.1648739025941105,0.22888440609372426
HC,2H10,0.22430795301140488,0.41273333540416807,0.15753135471124882,0.20542735687317817
HC,2H11,0.23174475185897073,0.3711267670637146,0.17457872848426356,0.22254975259305107
HC,atp016,0.2595146076460024,0.426988602372298,0.13610489580908583,0.17739189417261372
HC,BA64,0.2046330237158024,0.4252065950754571,0.1612385740573163,0.2089218071514242
HC,JP14,0.2211845069183403,0.37706480190756,0.17003086494931327,0.23171982622478646
HC,NE1,0.22629717945904745,0.3752067480573597,0.18226263428825965,0.21623343819533328
HC,PB675,0.226814263861052,0.41250001400522596,0.16100906109695012,0.1996766610367718
HC,Stuttgart,0.21669283080127213,0.3515587262120673,0.2011332444004189,0.23061519858624166
HC,WC1,0.27602188197301597,0.3713152202570777,0.16292174321744626,0.18974115455246002
HC,Ust_Ishim,0.24541700449931908,0.25468496513764827,0.24811659241539502,0.2517814379476375
HC,Yana1,0.22828362021451135,0.2599477634075134,0.2497748889704982,0.26199372740747706
HC,BOT2016,0.21413713861861122,0.2786247924865134,0.21159938775291484,0.2956386811419606
HC,Yamnaya,0.24557668253405693,0.3355504042624266,0.18782165691842753,0.23105125628508902
ImputedHC,USR1,0.20674025144527047,0.19983481838435166,0.28965365526708015,0.30377127490329786
ImputedHC,Kolyma1,0.2204159791309419,0.19554271869025155,0.29278745628397684,0.2912538458948298
ImputedHC,KK1,0.2594600181314578,0.31536448078047413,0.21099597043488488,0.21417953065318326
ImputedHC,Loschbour,0.2330219875727681,0.3171003858176395,0.20996340432185806,0.23991422228773432
ImputedHC,sf12,0.23961990955263582,0.3113168329993749,0.20870832983955587,0.24035492760843344
ImputedHC,SRA62,0.24800052615811183,0.3118828654411749,0.19695233719263974,0.24316427120807355
ImputedHC,2H10,0.2405328213537906,0.3205764557174782,0.209973336757134,0.22891738617159713
ImputedHC,2H11,0.2402032101073847,0.32734411978747213,0.19793147663268365,0.23452119347245953
ImputedHC,atp016,0.2522330446019639,0.34556942790138656,0.19066369444148712,0.2115338330551624
ImputedHC,BA64,0.22986450838850786,0.3273315801264297,0.20729892735883956,0.23550498412622295
ImputedHC,JP14,0.2334846604059239,0.33193775671128967,0.20225879645660563,0.2323187864261809
ImputedHC,NE1,0.24266191041759566,0.3258086689960424,0.2075736182927711,0.22395580229359086
ImputedHC,PB675,0.23631283614307308,0.3321351015057629,0.20740565200718222,0.22414641034398167
ImputedHC,Stuttgart,0.23871130787615086,0.33126388175493476,0.2047501801043468,0.22527463026456748
ImputedHC,WC1,0.2562989029669123,0.30397682276501775,0.20398949713124007,0.2357347771368299
ImputedHC,Ust_Ishim,0.2481423215975888,0.2497806107795768,0.25434573950659883,0.24773132811623555
ImputedHC,Yana1,0.23518560192508542,0.259494443636659,0.24662608812200654,0.258693866316249
ImputedHC,BOT2016,0.22780248043650064,0.25417758638268567,0.23836863225575386,0.2796513009250599
ImputedHC,Yamnaya,0.2507901251263267,0.30127924161690994,0.21061553358565738,0.23731509967110592
2X,USR1,0.20395668435448938,0.19432036817074086,0.2954690453606281,0.3062539021141418
2X,Kolyma1,0.21550375109803754,0.188803244291721,0.29724971697273467,0.2984432876375068
2X,KK1,0.26082445190695847,0.31598601325653575,0.21147945323609074,0.2117100816004151
2X,Loschbour,0.229120755162378,0.32441509206211866,0.20837433681399303,0.23808981596151033
2X,sf12,0.2376645341634663,0.3172032548953362,0.2051926780759804,0.23993953286521708
2X,SRA62,0.2493981176715577,0.3151798266396643,0.19415772149163255,0.24126433419714555
2X,2H10,0.2356125688299127,0.34241612386995113,0.20144625679244973,0.22052505050768648
2X,2H11,0.24090628080389082,0.341844294304839,0.18869957415003097,0.22854985074123935
2X,atp016,0.24952731038845458,0.35346035830714556,0.18450094539513043,0.21251138590926938
2X,BA64,0.2302440461616898,0.33684391340532616,0.19942948350736392,0.23348255692562017
2X,JP14,0.23158184104238502,0.34061881936752325,0.1971877768076777,0.2306115627824141
2X,NE1,0.24731243145865744,0.3361018931462659,0.1960825319846741,0.22050314341040256
2X,PB675,0.23743465553339257,0.33750080894687556,0.20149142105433082,0.223573114465401
2X,Stuttgart,0.23493701003424336,0.33366605565147395,0.2110738838038658,0.22032305051041687
2X,WC1,0.25670395624221515,0.30817342712525625,0.2002211326002525,0.23490148403227606
2X,Ust_Ishim,0.24991313958528946,0.2513609356321325,0.2505846431151872,0.24814128166739088
2X,Yana1,0.23358049939645284,0.25707557632461675,0.24713997549494737,0.26220394878398295
2X,BOT2016,0.22786230390364287,0.2532482481366079,0.23508960624501726,0.283799841714732
2X,Yamnaya,0.24789530913327762,0.3079077304966955,0.2093902343902822,0.2348067259797447
1X,USR1,0.2048452568759723,0.19884364581618144,0.2913589139125375,0.3049521833953087
1X,Kolyma1,0.2116019808097197,0.18968662066696035,0.29734118555259426,0.3013702129707256
1X,KK1,0.2625867854415558,0.32004527343364514,0.20743311578727183,0.20993482533752733
1X,Loschbour,0.2288273139301392,0.32607629484940814,0.20816415893095155,0.23693223228950114
1X,sf12,0.23991188010819836,0.32558487095341565,0.19950011899859083,0.2350031299397951
1X,SRA62,0.24543899102887184,0.3247539461851458,0.18860819835241036,0.24119886443357197
1X,2H10,0.23533118163086625,0.35053682338639675,0.1954828875322635,0.21864910745047356
1X,2H11,0.2390124203295543,0.3450822706892644,0.18911449058254728,0.226790818398634
1X,atp016,0.24884072904830287,0.36211549490977507,0.17987624522997958,0.20916753081194245
1X,BA64,0.22634627114217645,0.3432117224442645,0.19734925733045364,0.23309274908310523
1X,JP14,0.23357542961116376,0.3476102513712864,0.1889127767946527,0.22990154222289702
1X,NE1,0.24902768402441508,0.34627044545843433,0.18831503869410415,0.21638683182304644
1X,PB675,0.24086571900509557,0.34437927332004853,0.1971494518071257,0.21760555586773017
1X,Stuttgart,0.23493551554771727,0.3408435794386989,0.20384950160482873,0.22037140340875508
1X,WC1,0.2603601182043797,0.3155190812629792,0.1985055053915387,0.22561529514110235
1X,Ust_Ishim,0.24659015710164736,0.25435149706940885,0.25096924431957357,0.24808910150937022
1X,Yana1,0.22890664587500306,0.26118518079504266,0.24565036385823988,0.26425780947171434
1X,BOT2016,0.22593355329451303,0.25330041406411086,0.23387508171266239,0.2868909509287137
1X,Yamnaya,0.24884424244654643,0.311104071337834,0.20632447756841785,0.23372720864720173
05X,USR1,0.2026177321836662,0.1969259985712492,0.29425167267427377,0.3062045965708107
05X,Kolyma1,0.20948419240693966,0.18669345108544397,0.29848912056745297,0.30533323594016337
05X,KK1,0.26713098299750576,0.3241222929247818,0.2013134779463384,0.20743324613137404
05X,Loschbour,0.23029431299622619,0.3321370018425157,0.20425956252736388,0.23330912263389425
05X,sf12,0.2370542022102104,0.32758112073508816,0.19685156608527488,0.2385131109694265
05X,SRA62,0.24877603349652827,0.32956070366335727,0.18489911170444231,0.2367641511356722
05X,2H10,0.234529719809534,0.3584335345767606,0.19210039408094484,0.21493635153276064
05X,2H11,0.23823286960678208,0.3498888219190565,0.1848652147634791,0.22701309371068237
05X,atp016,0.25194504987988325,0.3685892803220948,0.1758327080679053,0.20363296173011675
05X,BA64,0.22350883339896346,0.34388052598401103,0.1987265111163102,0.2338841295007153
05X,JP14,0.229151641022309,0.3567487632247585,0.1873979750577009,0.22670162069523161
05X,NE1,0.25007344025735967,0.35181409556548077,0.18569608527057807,0.21241637890658138
05X,PB675,0.2367210016162894,0.3452849142939723,0.19998952206376358,0.2180045620259748
05X,Stuttgart,0.23095391083743186,0.34383848737809436,0.20443749689328394,0.22077010489118987
05X,WC1,0.2596992864135393,0.32124646958982117,0.1912288397327693,0.2278254042638702
05X,Ust_Ishim,0.24678055588774653,0.2511958176306189,0.25252048176003394,0.24950314472160054
05X,Yana1,0.23003321343332378,0.26358814050407464,0.24739420249796729,0.2589844435646342
05X,BOT2016,0.2232076010758428,0.25938912514824863,0.2315066164664886,0.28589665730942
05X,Yamnaya,0.24799292756711006,0.31582985539835784,0.2037029348547905,0.23247428217974164
00625X,USR1,0.20719957670106173,0.20292711622128534,0.2818322202922559,0.308041086785397
00625X,Kolyma1,0.18969587039999714,0.18267851960384282,0.2841414909601602,0.34348411903599974
00625X,KK1,0.28752709438478247,0.3802823156463259,0.16322148704055503,0.16896910292833667
00625X,Loschbour,0.20625545813337337,0.36395092241013005,0.1989063018139703,0.23088731764252632
00625X,sf12,0.2419727095673339,0.35896854386525917,0.1711498398704452,0.22790890669696182
00625X,SRA62,0.25019064643600164,0.3731853539615831,0.1683555989400163,0.208268400662399
00625X,2H10,0.23598277182722965,0.4394104239603698,0.141273795372111,0.1833330088402895
00625X,2H11,0.23382881396254043,0.3736828742508224,0.16484864863493076,0.22763966315170642
00625X,atp016,0.2604570715282967,0.39864915872279144,0.14923829911150893,0.1916554706374029
00625X,BA64,0.20313595418620067,0.39801054184725027,0.16711881798430422,0.2317346859822449
00625X,JP14,0.22232762153550004,0.4047621599201634,0.1596810490619124,0.21322916948242424
00625X,NE1,0.237512944978269,0.4122030123835499,0.15963180616259764,0.19065223647558344
00625X,PB675,0.22467976769087603,0.39861255544639584,0.1725790428714475,0.20412863399128067
00625X,Stuttgart,0.20955882673764012,0.39926159732960365,0.18309709483942668,0.20808248109332958
00625X,WC1,0.2844955780054753,0.35242766965113753,0.17273055409984014,0.19034619824354704
00625X,Ust_Ishim,0.253265996058263,0.25709082946812245,0.2512348854709719,0.2384082890026427
00625X,Yana1,0.22604758727713165,0.2676824981198904,0.24776053420189897,0.25850938040107896
00625X,BOT2016,0.2195211665991642,0.2800991527238895,0.20054154553049292,0.2998381351464533
00625X,Yamnaya,0.2548372555565299,0.34891757099032616,0.17888081242740572,0.21736436102573817
